,0,1,2,3,4,5,6,7,8,9,10,11
50,1608768000000,31.792,33.422,31.097,33.131,502514,1608854399999,156397.63997256,24597,252742,78570.34686848,0
51,1608854400000,33.185,34.204,32.421,33.793,490269,1608940799999,147168.57869840,22571,229211,68873.27457667,0
52,1608940800000,33.786,34.777,33.041,34.316,476729,1609027199999,140677.25714858,19639,234434,69121.38504074,0
53,1609027200000,34.289,35.750,32.263,34.306,842468,1609113599999,245723.27588487,29512,379807,110747.92232320,0
54,1609113600000,34.359,37.970,33.981,37.572,869846,1609199999999,238040.98961782,40492,398244,109115.81610794,0
55,1609200000000,37.591,41.404,36.719,40.882,1320600,1609286399999,334243.18308192,37450,560911,142164.16124143,0
56,1609286400000,40.861,41.078,38.415,39.816,417866,1609372799999,106014.49659073,19523,176089,44666.26685369,0
57,1609372800000,39.877,39.902,38.003,38.738,665296,1609459199999,171789.29775644,22571,372948,96275.84461026,0
58,1609459200000,38.771,40.592,38.265,39.135,594964,1609545599999,150631.01714793,18134,272620,68945.62055063,0
59,1609545600000,39.133,40.609,38.100,39.810,479773,1609631999999,122004.61719404,21579,227818,57886.77145434,0
60,1609632000000,39.807,44.085,39.537,43.668,967816,1609718399999,232855.13769048,36268,422072,101392.35125161,0
61,1609718400000,43.698,46.097,39.859,43.050,1372537,1609804799999,320620.17367896,50546,528620,124017.98497253,0
62,1609804800000,43.069,43.757,40.573,43.757,780956,1609891199999,186009.60234062,25348,385755,91955.63931070,0
63,1609891200000,43.767,44.700,42.329,44.528,637889,1609977599999,146144.03139049,22990,294514,67456.33338950,0
64,1609977600000,44.600,46.897,43.255,45.784,1142958,1610063999999,252415.20013360,30647,575995,127308.04296441,0
65,1610064000000,45.739,45.768,42.001,44.244,1146756,1610150399999,259888.81749303,30310,577156,130760.64731101,0
66,1610150400000,44.301,46.163,43.032,45.937,858193,1610236799999,194145.65585834,29677,452833,102699.33845483,0
67,1610236800000,45.973,47.351,41.252,44.025,1222711,1610323199999,273199.84843212,29725,562479,125710.91291869,0
68,1610323200000,43.999,44.040,36.510,39.486,2577796,1610409599999,650639.18870165,54818,1159574,292822.80389099,0
69,1610409600000,39.650,41.326,38.131,39.454,628027,1610495999999,158357.55668219,22650,323414,81521.43697603,0
70,1610496000000,39.468,42.073,38.070,41.646,478067,1610582399999,121111.80105297,20427,235945,59832.50808694,0
71,1610582400000,41.720,43.826,41.219,43.468,472833,1610668799999,111655.17020016,22794,248823,58753.16597723,0
72,1610668800000,43.496,44.207,39.773,42.469,600011,1610755199999,142211.27309954,22730,302330,71587.01802396,0
73,1610755200000,42.605,45.802,42.132,44.697,400468,1610841599999,91214.22865012,14369,202712,46183.51929164,0
74,1610841600000,44.696,48.333,42.280,47.424,570770,1610927999999,126354.32474530,17037,290062,63981.32660184,0
75,1610928000000,47.410,48.333,45.535,47.112,483238,1611014399999,103259.81348329,19212,242013,51666.40057609,0
76,1611014400000,47.125,49.704,43.712,44.465,1952376,1611100799999,413987.99580559,71245,1035204,219457.09223071,0
77,1611100800000,44.415,44.677,41.442,43.993,1062603,1611187199999,247029.63603036,39094,544999,126575.97089466,0
78,1611187200000,44.002,44.101,39.048,39.525,1085165,1611273599999,262704.61616643,32356,487285,117431.22804948,0
79,1611273600000,39.575,42.644,37.693,42.021,651654,1611359999999,162854.67231776,20217,299894,74777.60254289,0
80,1611360000000,42.021,43.153,40.691,42.228,325039,1611446399999,77797.96675992,14910,147011,35167.01510853,0
81,1611446400000,42.206,43.632,41.538,43.103,298401,1611532799999,69767.21265302,14650,165161,38565.84598459,0
82,1611532800000,43.129,44.960,41.800,43.079,361810,1611619199999,82975.62570183,17916,168716,38728.70550508,0
83,1611619200000,43.103,43.814,40.808,42.916,430781,1611705599999,102723.63531136,23210,203607,48507.42502172,0
84,1611705600000,42.895,43.131,40.411,41.875,345938,1611791999999,82893.74081536,21377,175822,42120.73504859,0
85,1611792000000,41.797,43.840,41.237,43.141,449170,1611878399999,103742.76682634,24052,196069,45290.24773004,0
86,1611878400000,43.086,45.250,42.578,43.957,467973,1611964799999,106081.33145388,26977,227332,51651.27998980,0
87,1611964800000,44.001,46.084,43.525,45.749,232915,1612051199999,52120.62194960,17658,105204,23549.85028349,0
88,1612051200000,45.749,46.509,43.904,45.137,305542,1612137599999,67475.04641861,21059,139934,30932.45927248,0
89,1612137600000,45.034,51.510,44.102,51.136,1847429,1612223999999,375852.23233485,41927,950988,193174.65314220,0
90,1612224000000,51.127,53.132,49.000,50.596,882984,1612310399999,174097.39382038,27282,428428,84489.28390670,0
91,1612310400000,50.576,52.931,49.830,52.302,506629,1612396799999,99653.49373050,17626,260580,51288.25228161,0
92,1612396800000,52.583,57.453,51.189,56.358,747510,1612483199999,138711.53413825,24070,368100,68351.44241267,0
93,1612483200000,56.507,70.032,56.507,68.070,1566849,1612569599999,251173.95276681,65823,715270,114780.68775191,0
94,1612569600000,67.982,77.370,61.358,73.459,2604569,1612655999999,368276.40950858,57013,1249558,176500.83596784,0
95,1612656000000,73.487,75.463,63.806,69.529,1585003,1612742399999,229119.70310138,35031,752711,108965.35932859,0
96,1612742400000,69.347,82.008,68.508,81.781,1609375,1612828799999,217937.30180658,44818,786515,106086.58113634,0
97,1612828800000,81.839,121.057,80.080,111.025,5106835,1612915199999,506454.73679015,113046,2463092,244489.59434846,0
98,1612915200000,111.000,154.153,110.989,133.919,7402894,1613001599999,559162.61472141,125789,3538218,267133.54647065,0
99,1613001600000,133.985,138.000,122.382,128.845,2862297,1613087999999,220748.64217113,62170,1330734,102522.44258640,0
100,1613088000000,128.989,148.888,126.541,144.137,2873833,1613174399999,207882.19145213,71572,1283174,92919.94742342,0
101,1613174400000,144.217,146.269,130.831,140.605,1800937,1613260799999,130861.25809735,41666,850408,61804.29092334,0
102,1613260800000,140.678,147.851,133.829,143.118,2747202,1613347199999,196059.58795410,82826,1294400,92483.80516272,0
103,1613347200000,143.000,147.162,113.377,136.038,3538095,1613433599999,267468.64089502,90162,1588317,119882.66763377,0
104,1613433600000,136.376,139.888,131.183,135.918,1329259,1613519999999,98150.06260304,41201,653447,48299.42803110,0
105,1613520000000,135.918,185.602,132.892,174.095,5447740,1613606399999,339024.78705581,124781,2541691,157871.61396117,0
106,1613606400000,174.217,210.000,170.960,203.634,6684071,1613692799999,344871.78290457,118008,3152571,162358.36328136,0
107,1613692800000,203.606,376.289,203.200,347.865,19908641,1613779199999,706143.34636338,196104,9274099,329439.54746633,0
108,1613779200000,348.543,350.599,225.900,261.800,12290655,1613865599999,420062.22168191,128101,5386397,183396.87183190,0
109,1613865600000,261.657,323.447,258.595,306.004,9469388,1613951999999,324452.94944938,108592,4328238,148176.64902302,0
110,1613952000000,307.040,307.651,226.593,275.616,10885272,1614038399999,404046.49800975,140883,4648496,172487.28730830,0
111,1614038400000,275.998,277.950,186.000,238.880,18964932,1614124799999,839619.82494720,250651,9216000,406716.81805471,0
112,1614124800000,238.730,289.411,220.000,261.059,11463866,1614211199999,444381.74511666,163562,5106141,198820.20035845,0
113,1614211200000,260.453,272.900,232.900,236.694,6827997,1614297599999,267292.49745192,85502,3273257,128383.34610213,0
114,1614297600000,236.762,238.694,209.303,215.570,3075765,1614383999999,136257.63580157,40693,1460994,64714.20130654,0
